"Titre";"Catégorie de talents";"Aptitude";"Aptitude raciale";"Talent";"Pouvoir";"Autre prérequis";"Compétences";"Classe";"Race";"Avantage";"Stats";"Source";"Errata"
"Abondance d'Arawai";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin abondance d'Arawaï.";;"Eberron";"Aucun"
"Abri de Boldréi";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin abri de Boldréi.";;"Eberron";"Aucun"
"Accès défensif";"Parangonique";;;;;;;"Maître de guerre";;"Lorsque vous usez de second souffle, vous pouvez conférer le +2 à toutes les défenses à un allié adjacent en plus d'en profiter vous-même.";"Con 15";"Art de la Guerre 1";"Aucun"
"Action et assaut";"Héroïque";;;;;;;;"Humain";"Vous bénéficiez d’un bonus de +3 aux jets d’attaque lors d’une action gagnée en dépensant un point d’action.";;"Manuel des Joueurs 1";"Aucun"
"Action et récupération";"Parangonique";;;;;;;;"Humain";"Lorsque vous dépensez un point d'action pour bénéficiez d'une action simple supplémentaire, vous pouvez aussitôt effectuez un jet de sauvegarde contre chaque état préjudiciable qui vous affecte et susceptible de prendre fin au moyen d'une sauvegarde.";;"Manuel des Joueurs 1";"Aucun"
"Action fatidique";"Héroïque";"Envoûtement";;;;;;"Sorcier";;"Lorsque vous dépensez un point d'action pour entreprendre une action supplémentaire et que vous avez infligé les dégâts supplémentaires de votre envoûtement au cours de votre tour actuel, vous pouvez infliger les dégâts supplémentaires une seconde fois au cours de ce tour de jeu.";;"Secret des Arcanes";"Aucun"
"Action meurtrière";"Héroïque";"Attaque sournoise";;;;;;"Voleur";;"Si vous dépensez un point d'action pour entreprendre une action supplémentaire alors que vous avez déjà infligés des dégâts d'attaque sournoise durant ce round, vous pouvez infligez les dégâts supplémentaires une seconde fois pendant ce tour de jeu";;"Art de la Guerre 1";"Aucun"
"Action prédatrice";"Héroïque";"Traque";;;;;;"Rôdeur";;"Si vous dépensez un point d'action pour entreprendre une action supplémentaire alors que vous avez déjà infligé vos dégâts de traque durant ce round, vous pouvez pouvez infligez les dégâts supplémentaires une seconde fois pour ce tour de jeu.";;"Art de la Guerre 1";"Aucun"
"Adaptation martiale";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Lorsque vous prenez ce talent, choisissez, un pouvoir d’attaque quotidien martiale de votre niveau ou moins et de votre classe. Après un repos prolongé, vous pouvez l’échanger contre un pouvoir d’attaque quotidien martiale que vous connaissez du même niveau. Vous pouvez procéder à l’échange inverse après un nouveau repos prolongé.";;"Art de la Guerre 2";"Aucun"
"Adepte de l'esprit du guetteur";"Héroïque";"Esprit du guetteur";;;;;;"Shaman";;"Vous pouvez maîtriser et exécuter les rituels Convocation de vent (cf. page 116), Marche sur l'onde (cf. MdJ307) et Résistance aux éléments (cf.page 119) comme si vous aviez le talent Lanceur de rituels.";;"Force de la Nature";"Aucun"
"Adepte de l'esprit du messager des mondes";"Héroïque";"Esprit du messager des mondes";;;;;;"Shaman";;"Vous et vos alliés ignorez les terrains difficiles en étant adjacents à votre compagnons spirituel.";;"Force de la Nature";"Aucun"
"Adepte de l'esprit prédateur";"Héroïque";;;;;;;"Shaman";;"Chaque allié qui débute son tour adjacent à votre compagnon spirituel peut se décaler d’une case au prix d’une action libre si c’est la première action qu’il effectue pendant son tour.";;"Manuel des Joueurs 2";"Aucun"
"Adepte de l'esprit protecteur";"Héroïque";;;;;;;"Shaman";;"Vos alliés bénéficient d’un bonus de +1 à leurs Réflexes, leur Vigueur et leur Volonté tant qu’ils sont adjacent à votre compagnon spirituel.";;"Manuel des Joueurs 2";"Aucun"
"Adepte des vestiges";"Héroïque";"Pacte des vestiges";;;;;;"Sorcier";;"Lorsque la faveur de votre pacte des vestiges est déclenchée, vous pouvez changer votre vestige activé et prendre n'importe quel autre vestige qui a été un vestige activé pour vous depuis votre dernier repos court ou repos prolongé au prix d'un action libre.";;"Secret des Arcanes";"Aucun"
"Adresse elfique";"Héroïque";;"Précision elfique";;;;;;"Elfe";"Lorsque vous utilisez le pouvoir précision elfique, vous bénéficiez d’un bonus de +2 au nouveau jet d’attaque.";;"Manuel des Joueurs 1";"Aucun"
"Agilité de mailles";"Parangonique";;;;;;;"Guerrier";;"Vous ignorez le malus à la VD normalement imposé par le port d'une cotte de mailles.";"Dex 15";"Art de la Guerre 1";"Aucun"
"Agilité défensive";"Héroïque";;;;;;;;;"Vous bénéficiez d’un bonus de +2 à la CA contre les attaques d’opportunité.";;"Manuel des Joueurs 1";"Aucun"
