name;description;alteration;property;power;special;source;rarity;critical;implement_group;location;weapon_groups;armor_categories;object_levels
Agrafe du noble sacrifice;Cette boucle dorée de cape puise dans votre essence vitale pour protéger vos amis;Réflexes, Vigueur et Volonté;"";Quotidien : action mineure. Jusqu'à la fin de la rencontre, chaque fois qu'un allié situé dans un rayon de 5 cases dépense une récupération, celle-ce est déduite de votre total et non du sien. Chaque fois qu'un allié dépense ainsi l'une de vos récupérations, vous gagnez un nombre de points de vie temporaires égal au bonus d'altération de l'agrafe.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";12, 17, 22, 27
Amas babélien;Ce petit amas de chair informe gigote constamment, et des yeux et des bouches en poussent et en tombent sans cesse tandis qu'il se dresse au sommet de votre crâne.;"";Vous bénéficiez d'un bonus d'objet de +1 en Volonté.<br>Niveau 30 : bonus d'objet de +2.;Rencontre ♦ psychique : réaction immédiate. Déclencheur : un ennemi vous touche avec une attaque qui vise la Volonté pour la première fois de la rencontre. Effet : l'ennemi en question subit 2d12 dégâts psychiques.<br>Niveau 30 : 3d12 dégâts psychiques.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Tête;"";"";20, 30
Amulette arachnide;Vos capacités de résistance au poison sont accrues lorsque vous portez ce talisman en forme d'araignée.;Réflexes, Vigueur et Volonté;Vous bénéficiez d 'une résistance au poison 10.<br>Niveau 25 ou 30: résistance au poison 15.;Quotidien: réaction immédiate. Utilisez ce pouvoir lorsque vous êtes touchés par une attaque de corps à corps. L'attaquant subit 1d10 dégâts de poison et 10 dégâts de poison continus (sauvegarde annule). L'attaquant subit également un malus de -2 aux jets de sauvegarde contre les effets de poison jusqu'à la fin de la rencontre.<br>Niveau 25 ou 30: 2d10 dégâts de poison, 20 dégâts de poison continus (sauvegarde annule).;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";15, 20, 25, 30
Amulette d'absence;Cette babiole de cristal n'est pas sertie et une simple bande de peau permet de la passer autour du cou.;Réflexes, Vigueur et Volonté;Les tentatives de scrutation vous visant échouent automatiquement, comme si vous n'existiez pas. Cela concerne également votre position et les biens en votre possession.;"";"";Le Comptoir de l'Aventure 1;common;"";"";Cou;"";"";12, 17, 22, 27
Amulette d'atténuation;Ce bijou grossier est doté d'une coquille caoutchouteuse qui durcit brièvement la peau.;Réflexes, Vigueur et Volonté;"";Quotidien: interruption immédiate. Utilisez ce pouvoir lorsque vous êtes touché par une attaque infligeant des dégâts. Réduisez les dégâts de 15.<br>Niveau 24 ou 29: réduisez les dégâts de 20.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";14, 19, 24, 29
Amulette d'élégie;Cette amulette vous permet de donner à votre voix des intonations d'une telle tristesse qu'elle afflige vos ennemis.;Réflexes, Vigueur et Volonté;"";Quotidien : action libre. Déclencheur : vous utilisez un pouvoir pour produite un effet qu'une sauvegarde est en mesure d'annuler. Effet : chaque cible du pouvoir subit un malus à son premier jet de sauvegarde contre l'effet égal au bonus d'altération de l'amulette.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Cou;"";"";2, 7, 12, 17, 22, 27
Amulette d'insaisissabilité;Des cercles concentriques de frêne blanc, de chêne et d'une essence rougeâtre ont été pyrogravés d'une croix dans le but de repousser les attaques.;Réflexes, Vigueur et Volonté;Si vous terminez votre tour de jeu à au moins 4 cases de celle dans laquelle vous l'avez commencé, vous bénéficiez d'un bonus d'objet de +2 à la CA et en Réflexes jusqu'au début de votre tour de jeu suivant.;"";"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";14, 19, 24, 29
Amulette d'inviolabilité physique;Ce rubis protecteur en forme de cœur est conservé dans une cage en or.;Réflexes, Vigueur et Volonté;Vous bénéficiez d'un bonus d'objet de +2 aux jets de sauvegarde contre les dégâts continus.;Quotidien: action mineure. Vous et vos alliés situés dans un rayon d'un nombre de cases égal à 2 + le bonus d'altération de l'amulette effectuez un jet de sauvegarde contre tous les effets de dégâts continus en cours.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";14, 19, 24, 29
Amulette d’œil orque;Cette amulette, constitué d'un œil magique enrobé dans un petit sachet de toile, a le pouvoir de vous conférer des forces nouvelles.;Réflexes, Vigueur et Volonté;"";Rencontre : réaction immédiate. Déclencheur : un allié situé dans un rayon de 10 cases met un ennemi en péril. Effet : l'allié gagne des points de vie temporaires égaux à 3 + bonus d'altération de l'amulette.<br>Niveau 18 ou 23 : 6 + bonus d'altération de l'amulette.<br>Niveau 28 : 9 + bonus d'altération de l'amulette.;"";Le Comptoir de l'Aventure 2;uncommon;"";"";Cou;"";"";8, 13, 18, 23, 28
Amulette de coriacité;Prenant la forme d'un disque de platine incrusté d'une étoile cristalline, cette amulette permet de surmonter les blessures récalcitrantes.;Réflexes, Vigueur et Volonté;"";Quotidien: réaction immédiate. Utilisez ce pouvoir lorsque vous êtes touché par une attaque qui inflige des dégâts continus. Effectuez un jet de sauvegarde contre les dégâts continus. En cas d'échec, vous ne perdez pas l'usage de ce pouvoir et cela n'affecte pas le nombre de pouvoirs quotidiens d'objets magiques que vous êtes en droits d'utiliser chaque jour.;"";Le Comptoir de l'Aventure 1;uncommon;"";"";Cou;"";"";8, 13, 18, 23, 28
