Nom du monstre;Rôle;Rôle secondaire;Meneur;Niveau;Source;Catégorie;exp;Race;Origine;Mot-clé (humanoïde, élémentaire, féerique…);Lieux de prédilection
Fondeur kobold;Artilleur;Normal;;1;Bestiaire Fantastique 1;Kobold;100;Humanoïde;Naturelle;;
Frondeur halfelin;Artilleur;Normal;;1;Bestiaire Fantastique 1;Halfelin;100;Humanoïde;Naturelle;;
Squelette décrépit;Artilleur;Sbire;;1;Bestiaire Fantastique 1;Squelette;25;Animé;Naturelle;Mort-vivant;
Cheval de selle;Brute;Normal;;1;Bestiaire Fantastique 1;Cheval;100;Bête;Naturelle;;
Rat géant;Brute;Sbire;;1;Bestiaire Fantastique 1;Rat;25;Bête;Naturelle;;
Rat sanguinaire;Brute;Normal;;1;Bestiaire Fantastique 1;Rat;100;Bête;Naturelle;;
Scarabée de feu;Brute;Normal;;1;Bestiaire Fantastique 1;Scarabée;100;Bête;Naturelle;;
Lame noire gobeline;Chasseur;Normal;;1;Bestiaire Fantastique 1;Gobelin;100;Humanoïde;Naturelle;;
Strige;Chasseur;Normal;;1;Bestiaire Fantastique 1;Strige;100;Bête;Naturelle;;
Drake des clochers;Franc-tireur;Normal;;1;Bestiaire Fantastique 1;Drake;100;Bête;Naturelle;Reptile;
Franc-tireur kobold;Franc-tireur;Normal;;1;Bestiaire Fantastique 1;Kobold;100;Humanoïde;Naturelle;;
Homme d'armes gobelin;Franc-tireur;Normal;;1;Bestiaire Fantastique 1;Gobelin;100;Humanoïde;Naturelle;;
Sbire kobold;Franc-tireur;Sbire;;1;Bestiaire Fantastique 1;Kobold;25;Humanoïde;Naturelle;;
Coupe-jarret gobelin;Soldat;Sbire;;1;Bestiaire Fantastique 1;Gobelin;25;Humanoïde;Naturelle;;
Scorpion foudroyant;Soldat;Normal;;1;Bestiaire Fantastique 1;Scorpion;100;Bête;Naturelle;;
Archer elfe;Artilleur;Normal;;2;Bestiaire Fantastique 1;Elfe;125;Humanoïde;Féérique;;
Gaillard halfelin;Artilleur;Sbire;;2;Bestiaire Fantastique 1;Halfelin;31;Humanoïde;Naturelle;;
Tireur d'élite gobelin;Artilleur;Normal;;2;Bestiaire Fantastique 1;Gobelin;125;Humanoïde;Naturelle;;
Chrysalide kruthik;Brute;Sbire;;2;Bestiaire Fantastique 1;Kruthik;31;Bête;Naturelle;Reptile;
Drake de garde;Brute;Normal;;2;Bestiaire Fantastique 1;Drake;125;Bête;Naturelle;Reptile;
Jeune kruthik;Brute;Normal;;2;Bestiaire Fantastique 1;Kruthik;125;Bête;Naturelle;Reptile;
Zombie;Brute;Normal;;2;Bestiaire Fantastique 1;Zombie;125;Animé;Naturelle;Mort-vivant;
Éclaireur d'argile;Chasseur;Normal;;2;Bestiaire Fantastique 1;Homoncule;125;Animé;Naturelle;Créature artificielle, Homoncule;
Escobar gnome;Chasseur;Normal;;2;Bestiaire Fantastique 1;Gnome;125;Humanoïde;Féérique;;
Bandit humain;Franc-tireur;Normal;;2;Bestiaire Fantastique 1;Humain;125;Humanoïde;Naturelle;;
Éclaireur elfe;Franc-tireur;Normal;;2;Bestiaire Fantastique 1;Elfe;125;Humanoïde;Féérique;;
Hyène;Franc-tireur;Normal;;2;Bestiaire Fantastique 1;Hyène;125;Bête;Naturelle;;
Loup gris;Franc-tireur;Normal;;2;Bestiaire Fantastique 1;Loup;125;Bête;Naturelle;;
Nuée de rats;Franc-tireur;Normal;;2;Bestiaire Fantastique 1;Rat;125;Bête;Naturelle;Nuée;
Voleur halfelin;Franc-tireur;Normal;;2;Bestiaire Fantastique 1;Halfelin;125;Humanoïde;Naturelle;;
Agitateur humain;Soldat;Sbire;;2;Bestiaire Fantastique 1;Humain;31;Humanoïde;Naturelle;;
Draco-écu kobold;Soldat;Normal;;2;Bestiaire Fantastique 1;Kobold;125;Humanoïde;Naturelle;;
Nuée de drakes crocheteux;Soldat;Normal;;2;Bestiaire Fantastique 1;Drake;125;Bête;Naturelle;Nuée, Reptile;
Archer hobgobelin;Artilleur;Normal;;3;Bestiaire Fantastique 1;Gobelin;150;Humanoïde;Naturelle;;
Dracoprêtre kobold;Artilleur;Normal;Oui;3;Bestiaire Fantastique 1;Kobold;150;Humanoïde;Naturelle;;
Drake cracheur;Artilleur;Normal;;3;Bestiaire Fantastique 1;Drake;150;Bête;Naturelle;Reptile;
Charogne zombie;Brute;Sbire;;3;Bestiaire Fantastique 1;Zombie;38;Animé;Naturelle;Mort-vivant;
Destrier;Brute;Normal;;3;Bestiaire Fantastique 1;Cheval;150;Bête;Naturelle;Monture;
Gelée ocre;Brute;Élite;;3;Bestiaire Fantastique 1;Vase;300;Bête;Naturelle;Aveugle, Vase;
Gobelin fendeur de crânes;Brute;Normal;;3;Bestiaire Fantastique 1;Gobelin;150;Humanoïde;Naturelle;;
Jeune dragon blanc;Brute;Solo;;3;Bestiaire Fantastique 1;Dragon;750;Créature magique;Naturelle;Dragon;
Molosse tombal;Brute;Normal;;3;Bestiaire Fantastique 1;Zombie;150;Animé;Naturelle;Mort-vivant;
Chauve-souris des ombres;Chasseur;Normal;;3;Bestiaire Fantastique 1;Chauve-souris;150;Bête;Ombreuse;;
Diablotin;Chasseur;Normal;;3;Bestiaire Fantastique 1;Diable;150;Humanoïde;Immortelle;Diable;
Pseudodragon;Chasseur;Normal;;3;Bestiaire Fantastique 1;Drake;150;Bête;Naturelle;Reptile;
Arcaniste gnome;Contrôleur;Normal;Oui;3;Bestiaire Fantastique 1;Gnome;150;Humanoïde;Féérique;;
Sorcier de bataille hobgobelin;Contrôleur;Normal;Oui;3;Bestiaire Fantastique 1;Gobelin;150;Humanoïde;Naturelle;;
Sorcier gobelin;Contrôleur;Normal;Oui;3;Bestiaire Fantastique 1;Gobelin;150;Humanoïde;Naturelle;;
